COLLECTION,DATASET_NAME,PROC_LEVEL,DS_START_DATE,DS_STOP_DATE,DS_N_LAT,DS_S_LAT,DS_W_LON,DS_E_LON,LOCATION,FORMAT,TEMP_RESOLUTION,SPATIAL_RESOLUTION,CONTACT,PHONE,INV_NAME,BROWSE_AVAIL,DIF,DS_COMMENTS,IMS_VISIBLE,DS_SHORT_NAME,DIF_ORIGIN,SDPN,RESTRICTED_COMMENTS,IMS_DATE,DS_FTP_URL,LOCAL_VISIBLE,LOCAL_DATE,TRANS_START_DATE,TRANS_STOP_DATE,TRANS_NEW_HOME,LAST_REVIEW_DATE,DISPLAY_DS_NAME,SPONSOR,CATALOG_NAME,SUB_INV,DP_VISIBLE,DP_DATE,DS_TYPE,DP_DIR_PATH,NAV_INV,NAV_DS,BR_FTP_PATH,DATA_LOC,SUBSET_AVAIL,VERSION,COORD_SYSTEM,GRANULE_SPATIAL_REPR,ECHOID,DP_START_DATE,DP_STOP_DATE,REGISTRATION,PERIODIC_UPDATE,INV_COORD,ENTERED,PUSH_LOCALPATH,PUSH_ENABLED,PUSH_DISABLEDBY,PUSH_DISABLEDON,PUSH_BECAUSE
GPM-GV MC3E Products,GPM GROUND VALIDATION NOAA UHF 449 PROFILER RAW DATA SPC FORMAT MC3E,1,8-Apr-11,7-Jun-11,43,28,-121,-91,OKLAHOMA,SPC,HOURLY FILES,profiles,CHRISTOPHER WILLIAMS,303-497-3829,GPM_INV,N,gpmuhfspcmc3e,"The NOAA UHF 449 Profiler Raw SPC foramt data was collected during the NASA supported Midlatitude Continental Convective Clouds Experiment (MC3E).  The Ultra High Frequency 449 MHz profiler was one of three NOAA deployed instruments which also included a Parsivel and a 2.8 GHz profiler (S-Band).  The 449 MHz profiler raw data files provide estimates of the vertical air motion during precipitation from near the surface to just below the freezing level.  The raw 449MGx profiler data consists of uncalibrated Doppler velocity spectra data in units of relative power return.  The SPC format requires specialized read software which can be purchased from Vaisala.  The same data in netCDF format can be acquired by ordering the ""GPM Ground Validation NOAA UHF 449 Profiler MC3E"" dataset.",Y,gpmuhfspcmc3e,GHRC,,,4-Feb-13,,Y,4-Feb-13,,,,21-May-13,GPM Ground Validation NOAA UHF 449 Profiler Raw Data SPC format MC3E,GPMGV,,,N,,,,,,,GHRC,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION NOAA UHF 449 PROFILER RAW DATA SPC FORMAT MC3E V1,,,0,0,0,4-Feb-13,,,,,
CAMEX-3 Products,CAMEX-3 CLOUD AND AEROSOL PARTICLE CHARACTERIZATION VIDEO,1A,10-Aug-98,2-Sep-98,50,10,-105,-50,CARRIBEAN,DVD,DAILY,N/A,RUDOLF PUESCHEL,650-604-5254,CAMEX_INV,N,dc8capac,"Cloud and aerosol particles are exposed to laser light to measure particle size from 0.3 micrometer to 6.4 millimeter, and both size and shape between 40 micrometer and 6.4 millimeter particle diameter as function of particle size.  The size distributions thus determined will be integrated to yield particle surface area, and ice and liquid water contents in clouds and precipitation.",Y,dc8capacv,GHRC,M-273,,6-Apr-01,,Y,6-Apr-01,,,,1-Jul-10,CAMEX-3 Cloud and Aerosol Particle Characterization Video,CAMEX-3,,,,,,,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 CLOUD AND AEROSOL PARTICLE CHARACTERIZATION VIDEO V1,,,0,0,0,6-Apr-01,,,,,
CAMEX-3 Products,CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI),1,3-Aug-98,22-Sep-98,50,10,-105,-50,CARRIBEAN,TAR,DAILY,,ROBERT KNUTESON,608-263-7974 ,CAMEX_INV,N,cmx3aeri,"The Atmospheric Emitted Radiance Interferometer (AERI) was used to make atmospheric temperature and moisture retrievals. AERI provides absolutely calibrated radiances which can be used for forward calculation comparisons of radiosonde and LIDAR (for CAMEX-3, the SRL) profiles and provides a reference to the airborne and ground based remote sensing instruments. Additionally, AERI radiances contain valuable temperature and water vapor information which can be used to retrieve planetary boundary layer thermodynamics.",Y,cmx3aeri,GHRC,,,11-May-01,,Y,2-May-01,,,,12-Aug-10,CAMEX-3 Atmospheric Emitted Radiance Interferometer (AERI),CAMEX-3,,,,,,/ftp/public/camex3/cmx3aeri/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,CAMEX-3 ATMOSPHERIC EMITTED RADIANCE INTERFEROMETER (AERI) V1,,,1,0,0,2-May-01,,,,,
Passive Microwave Products,AMPR FIRE III ACE,1B,18-May-98,6-Jun-98,78.19,33.83,-174.29,-117.17,ALASKAN NORTH SLOPE,ASCII,DAILY,,FRANK LAFONTAINE,256-922-5796,CLIMAT_INV,Y,amprtbf3a,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during The First ISCCP Regional Experiment-III Arctic Cloud Experiment (FIRE-III/ACE). AMPR data were collected at four microwave frequencies (10.7, 19.35, 37.1 and 85.5 GHz) for the period of 10 May 1999 through 08 June 1999. The FIRE-III/ACE mission is to study sea-ice melting, sea-ice drift, and other sea-ice properties. The experiment was focused on the Arctic Ocean in and near the Beaufort Sea off the northern coast of Alaska, in coordination with the ice-bound research ship Sheba.",Y,amprtbf3a,GHRC,M-258,,23-Jul-99,,Y,23-Jul-99,,,,30-Nov-11,AMPR FIRE III ACE,Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/pub/data/ampr/fire3ace/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,AMPR FIRE III ACE V1,,,1,0,0,23-Jul-99,,,,,
Passive Microwave Products,AMPR TEFLUN-A BRIGHTNESS TEMPERATURE (TB),1B,15-Apr-98,4-May-98,35.19,25.62,-117.96,-81.37,GULF OF MEXICO,ASCII,DAILY,,FRANK LAFONTAINE,256-922-5796,CLIMAT_INV,Y,amprtbta,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during the Texas-Florida Underflights (TEFLUN-A); the first of three TRMM ground validation missions. AMPR data were collected at four microwave frequencies (10.7, 19.35, 37.1 and 85.5 GHz) for the period of 05 April 1999 through 06 May 1999. The TEFLUN-A mission was to study convection over sub-tropical land and ocean regions within the range of research-quality radar, lightning, radiosonde, and raingage sites in Florida and Texas.",Y,amprtbta,GHRC,M-260,,23-Jul-99,,Y,23-Jul-99,,,,30-Nov-11,AMPR TEFLUN-A Brightness Temperature (TB),Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/pub/data/ampr/tefluna/,,,,GHRC-LT01,N,1,CARTESIAN,CARTESIAN,AMPR TEFLUN-A BRIGHTNESS TEMPERATURE (TB) V1,,,1,0,0,23-Jul-99,,,,,
GPM-GV MC3E Products,GPM GROUND VALIDATION NOAA PARSIVEL MC3E,2,5-Apr-11,6-Jun-11,43,28,-121,-91,OKLAHOMA,ASCII,DAILY,point data,CHRISTOPHER WILLIAMS,303-497-3829,GPM_INV,Y,gpmpanoaamc3e,The NOAA Parsivel data collected during the Midlatitude Continental Convective Clouds Experiment (MC3E) experiment in central Oklahoma contains moment data (reflectivity and rain rate estimates) or raindrop number concentration estimates.  This data provided a reference reflectivity to calibrate the S-band profiler during the experiment.,Y,gpmpanoaamc3e,GHRC,,,13-Feb-13,,Y,13-Feb-13,,,,13-Feb-13,GPM Ground Validation NOAA Parsivel MC3E,GPMGV,,,N,,,/ftp/public/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,GPM GROUND VALIDATION NOAA PARSIVEL MC3E V1,,,1,0,0,8-Feb-13,,,,,
NAMMA Products,NAMMA DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),2,7-Aug-06,12-Sep-06,30,-5,-50,10,CAPE VERDE,ASCII,FLIGHT,,T. P. BUI,650-604-5534,CAMEX_INV,N,nammms,"The MMS consists of three major systems: an air-motion sensing system to measure air velocity with respect to the aircraft, an aircraft-motion sensing system to measure the aircraft velocity with respect to the earth, and a data acquisition system to sample, process, and record the measured quantities.  The air-motion system consists of two airflow-angle probes, three total temperature probes each with a different response time, a pitot-static pressure probe, and a dedicated static pressure system. All probes and sensors are judiciously located at specific positions of the fuselage. The aircraft-motion sensing system consists of an embedded GPS ring laser inertial navigation system, and a multiple-antenna GPS attitude reference system. Customized software was developed to control, sample, and process all sensors and hardware.",Y,nammms,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,18-Jun-10,NAMMA DC-8 Meteorological Measurement System (MMS),NAMMA,,CAMEX_SUB_INV,,,,/ftp/public/namma/MMS/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS) V1,,,1,0,0,1-Jun-06,,,,,
Passive Microwave Products,AMPR BRIGHTNESS TEMPERATURE CAMEX-2,1B,23-Aug-95,30-Aug-95,43,25.5,-83,-70,US ATLANTIC COAST,ASCII,1 DAY,.6-2.8KM,ROBBIE HOOD,256-922-5959,CLIMAT_INV,Y,amprtbcx,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during the Convection and Moisture Experiment 2 (CAMEX-2).  AMPR data were collected at a combination of frequencies (10.7, 19.35, 37.1, and 85.5 GHz) and for  the period of August 21 - September 2 1995. The geographic domain of the CAMEX-2 region was between 25 N - 45 N latitude and 83 W - 70 W longitude.",Y,amprtbcx2,MSFC DAAC,M-207,,1-Jan-97,,Y,1-Jan-97,,,GHRC,13-Nov-13,AMPR Brightness Temperature CAMEX-2,Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/ampr/camex2/data/,,,,GHRC-FC02,N,2,CARTESIAN,CARTESIAN,AMPR BRIGHTNESS TEMPERATURE CAMEX-2 V2,,,1,0,0,1-Jan-97,,,,,
Passive Microwave Products,AMPR BRIGHTNESS TEMPERATURE CAMEX-1,1B,26-Sep-93,5-Oct-93,43,25.5,-83,-70,US ATLANTIC COAST,ASCII,1 DAY,.6-2.8KM,ROBBIE HOOD,256-922-5959,CLIMAT_INV,Y,amprtbcx,"The Advanced Microwave Precipitation Radiometer (AMPR) was deployed during the Convection and Moisture Experiments (CAMEX-1)  conducted at Wallops Island, VA. AMPR data were collected at a combination of frequencies (10.7, 19.35, 37.1, and 85.5 GHz) and  for the period of September 26 - October 5, 1993. The geographic domain of the CAMEX region was between 25N - 45N latitude and 70W -  83W longitude",Y,amprtbcx1,MSFC DAAC,M-101,,1-Jan-97,,Y,1-Jan-97,,,GHRC,13-Nov-13,AMPR Brightness Temperature CAMEX-1,Other Field Experiments,Advanced Microwave Precipitation Radiometer (AMPR) Data Sets,,,,,/ftp/public/ampr/camex1/data/,,,,GHRC-FC02,N,2,CARTESIAN,CARTESIAN,AMPR BRIGHTNESS TEMPERATURE CAMEX-1 V2,,,1,0,0,1-Jan-97,,,,,
NAMMA Products,NAMMA DIODE LASER HYGROMETER (DLH),2,7-Aug-06,12-Sep-06,30,-5,-50,10,CAPE VERDE,ASCII,FLIGHT,,GLENN DISKIN,757-864-6268,CAMEX_INV,N,namdlh,"The Diode Laser Hygrometer (DLH), a near-infrared spectrometer operating from aircraft platforms, was developed by NASA's Langley and Ames Research Centers.  It measures water vapor mixing ratio and derives water vapor partial pressure, relative humidity, and water vapor flux.  Based upon near-infrared tunable diode technology its spectrometer provides true in situ monitoring of water vapor concentrations with precision levels exceeding those of existing Lyman alpha and frost point hygrometers.",Y,namdlh,GHRC,,,1-Jun-06,http://namma.nsstc.nasa.gov/data.jsp,Y,31-May-07,,,,18-Jun-10,NAMMA Diode Laser Hygrometer (DLH),NAMMA,,,,,,/ftp/public/namma/DLH/data/,,,,GHRC-FC02,N,1,CARTESIAN,CARTESIAN,NAMMA DIODE LASER HYGROMETER (DLH) V1,,,1,0,0,1-Jun-06,,,,,
