DATASET_NAME,SOURCE,SENSOR,PARAMETER,PROJ_NAME,SDPN,DS_SHORT_NAME,TOPIC,TERM,SOURCE_TYPE
NAMMA LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,ATMOSPHERIC SCATTERING RATIO,NAMMA,,namlase,ATMOSPHERE,AEROSOLS,AIRCRAFT
NAMMA LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,AEROSOL EXTINCTION,NAMMA,,namlase,ATMOSPHERE,AEROSOLS,AIRCRAFT
NAMMA LIDAR ATMOSPHERIC SENSING EXPERIMENT (LASE),NASA DC-8,LASE,AEROSOL OPTICAL DEPTH/THICKNESS,NAMMA,,namlase,ATMOSPHERE,AEROSOLS,AIRCRAFT
NAMMA DIODE LASER HYGROMETER (DLH),NASA DC-8,DIODE LASER HYGROMETER,HUMIDITY,NAMMA,,namdlh,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
NAMMA DC-8 METEOROLOGICAL MEASUREMENT SYSTEM (MMS),NASA DC-8,GPS,AIRSPEED/GROUND SPEED,NAMMA,,nammms,SPECTRAL/ENGINEERING,PLATFORM CHARACTERISTICS,AIRCRAFT
TCSP TICOSONDE-AURA 2005,WEATHER BALLOON,RADIOSONDES,DEW POINT TEMPERATURE,TCSP,,tcsptico,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,BALLOON/ROCKET
CAMEX-3 LIGHTNING INSTRUMENT PACKAGE (LIP),NASA ER-2,LIP,ATMOSPHERIC CONDUCTIVITY,CAMEX-3,M-269,er2lip,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,AIRCRAFT
CAMEX-4 ANDROS ISLAND RAWINSONDE AND RADIOSONDES,WEATHER BALLOON,RAWINSONDE,AIR TEMPERATURE,CAMEX-4,M-306,c4gandros,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,BALLOON/ROCKET
TCSP AMPR BRIGHTNESS TEMPERATURE (TB),NASA ER-2,AMPR,BRIGHTNESS TEMPERATURE,TCSP,,tcspampr,SPECTRAL/ENGINEERING,MICROWAVE,AIRCRAFT
TCSP TICOSONDE-AURA 2005,WEATHER BALLOON,RADIOSONDES,AIR TEMPERATURE,TCSP,,tcsptico,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,BALLOON/ROCKET
TCSP TICOSONDE-AURA 2005,WEATHER BALLOON,RADIOSONDES,FLIGHT LEVEL WINDS,TCSP,,tcsptico,ATMOSPHERE,ATMOSPHERIC WINDS,BALLOON/ROCKET
TCSP AEROSONDE,AEROSONDE,HYGROMETER,HUMIDITY,TCSP,,tcspaero,ATMOSPHERE,ATMOSPHERIC WATER VAPOR,AIRCRAFT
TCSP AEROSONDE,AEROSONDE,THERMISTOR,AIR TEMPERATURE,TCSP,,tcspaero,ATMOSPHERE,ATMOSPHERIC TEMPERATURE,AIRCRAFT
TCSP AEROSONDE,AEROSONDE,BAROMETERS,ATMOSPHERIC PRESSURE MEASUREMENTS,TCSP,,tcspaero,ATMOSPHERE,ATMOSPHERIC PRESSURE,AIRCRAFT
TCSP AEROSONDE,AEROSONDE,GPS,FLIGHT LEVEL WINDS,TCSP,,tcspaero,ATMOSPHERE,ATMOSPHERIC WINDS,AIRCRAFT
TCSP AEROSONDE,AEROSONDE,INFRARED PYROMETER,SEA SURFACE TEMPERATURE,TCSP,,tcspaero,OCEANS,OCEAN TEMPERATURE,AIRCRAFT
LIS/OTD 0.5 DEGREE HIGH RESOLUTION ANNUAL CLIMATOLOGY (HRAC),MICROLAB-1,OTD,LIGHTNING,TRMM,,lohrac,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 0.5 DEGREE HIGH RESOLUTION ANNUAL CLIMATOLOGY (HRAC),TRMM,LIS,LIGHTNING,TRMM,,lohrac,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 0.5 DEGREE HIGH RESOLUTION MONTHLY CLIMATOLOGY (HRMC),MICROLAB-1,OTD,LIGHTNING,TRMM,,lohrmc,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 0.5 DEGREE HIGH RESOLUTION MONTHLY CLIMATOLOGY (HRMC),TRMM,LIS,LIGHTNING,TRMM,,lohrmc,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
LIS/OTD 2.5 DEGREE LOW RES ANNUAL DIURNAL CLIMATOLOGY (LRADC),MICROLAB-1,OTD,LIGHTNING,TRMM,,lolradc,ATMOSPHERE,ATMOSPHERIC ELECTRICITY,SATELLITE
