DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
dc8avaps,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8avaps/data/,,All,/ftp/public/camex3/dc8avaps/data/,GHRC-FC02,
tc4ampr,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/ampr/tc4/,,All,/ftp/public/pub/data/ampr/tc4/,GHRC-LT01,
dc8mms,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8mms/data/,,All,/ftp/public/camex3/dc8mms/data/,GHRC-FC02,
trmlbalip,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/lip/trmmlba/,,All,/ftp/public/pub/data/lip/trmmlba,GHRC-LT01,
namtoga,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Radar-TOGA/data/,,All,/ftp/public/namma/Radar-TOGA/data/,GHRC-FC02,
c4sg8,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/GOES8/data/,,P1D,/ftp/public/camex4/GOES8/data/,GHRC-FC02,
c4gmipwp,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Wind_Profiler/data/,,All,/ftp/public/camex4/MIPS_Wind_Profiler/data/,GHRC-FC02,
otdlip,Browse,ftp://ghrc.nsstc.nasa.gov/pub/browse/otd/,,All,,GHRC-LT01,
tc4crlit,Homepage,http://www.espo.nasa.gov/tc4/,,,,,
tc4crlit,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tc4/tc4crlit_dataset.html,,,,,
c4gnpol,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/NPOL/data/,,P1D,/ftp/public/camex4/NPOL/data/,GHRC-FC02,
c4gtoga,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/TOGA/data/,,P1D,/ftp/public/camex4/TOGA/data/,GHRC-FC02,
c4gandros,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/Andros_Island_Rawinsonde/data/,,All,/ftp/public/camex4/Andros_Island_Rawinsonde/data/,GHRC-FC02,
c4gmipss1,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Surface_Station_1/data/,,All,/ftp/public/camex4/MIPS_Surface_Station_1/data/,GHRC-FC02,
c4gmipclo,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Ceilometer/data/,,All,/ftp/public/camex4/MIPS_Ceilometer/data/,GHRC-FC02,
c4dmtp,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MTP_DC-8/data/,,All,/ftp/public/camex4/MTP_DC-8/data/,GHRC-FC02,
c4dlase,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/LASE/data/,,All,/ftp/public/camex4/LASE/data/,GHRC-FC02,
c4dpr2,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/PR-2/data/,,All,/ftp/public/camex4/PR-2/data/,GHRC-FC02,
c4gxpow,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/X-POW/data/,,All,/ftp/public/camex4/X-POW/data/,GHRC-FC02,
c4elip,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/LIP_ER-2/data/,,All,/ftp/public/camex4/LIP_ER-2/data/,GHRC-FC02,
c4gmipss2,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Surface_Station_2/data/,,All,/ftp/public/camex4/MIPS_Surface_Station_2/data/,GHRC-FC02,
c4dlip,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/LIP_DC-8/data/,,All,/ftp/public/camex4/LIP_DC-8/data/,GHRC-FC02,
c4dcm,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/Cloud_Microphysics/data/,,All,/ftp/public/camex4/Cloud_Microphysics/data/,GHRC-FC02,
c4gmipfm,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Field_Mill/data/,,All,/ftp/public/camex4/MIPS_Field_Mill/data/,GHRC-FC02,
c4gmipsod,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex4/MIPS_Sodar/data/,,All,/ftp/public/camex4/MIPS_Sodar/data/,GHRC-FC02,
lislipB,Browse,http://thunder.nsstc.nasa.gov/cgi-bin/lis/lis_cal.pl,,,,,
aces1cont,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/aces/ACES_TOOLKIT.tar,,,,,
aces1efm,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/aces/ACES_TOOLKIT.tar,,,,,
aces1log,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/aces/ACES_TOOLKIT.tar,,,,,
aces1time,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/aces/ACES_TOOLKIT.tar,,,,,
aces1trig,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/aces/ACES_TOOLKIT.tar,,,,,
tmiwop,Algorithm Information,ftp://ghrc.nsstc.nasa.gov/pub/doc/tmiwop/TMI_version_2_algorithm.pdf,,,,,
aces1cont,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/aces/continuous/,,All,/ftp/public/pub/data/aces/continuous/,GHRC-LT01,
amsua17sp,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/amsu-a/noaa-17/,,All,/ftp/public/pub/data/amsu-a/noaa-17/,GHRC-LT01,
dc8psr,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8psr/data/,,All,/ftp/public/camex3/dc8psr/data/,GHRC-FC02,
cmx3aeri,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/cmx3aeri/data/,,All,/ftp/public/camex3/cmx3aeri/data/,GHRC-FC02,
amsua15sp,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/amsu-a/noaa-15/,,All,/ftp/public/pub/data/amsu-a/noaa-15/,GHRC-LT01,
amsua16sp,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/amsu-a/noaa-16/,,All,/ftp/public/pub/data/amsu-a/noaa-16/,GHRC-LT01,
msut2,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/t2/,,All,/ftp/public/pub/data/msu/t2/,GHRC-LT01,
otdlip,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/otd/,,All,/ftp/public/pub/data/otd/,GHRC-LT01,
aces1efm,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/aces/fieldmill/,,All,/ftp/public/pub/data/aces/fieldmill/,GHRC-LT01,
namnpol,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namnpol/namnpol_dataset.html,,,,,
msut4,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/t4/,,All,/ftp/public/pub/data/msu/t4/,GHRC-LT01,
aces1log,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/aces/log/,,All,/ftp/public/pub/data/aces/log/,GHRC-LT01,
msut2lt,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/msu/t2lt/,,All,/ftp/public/pub/data/msu/t2lt/,GHRC-LT01,
aces1trig,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/aces/triggered/,,All,/ftp/public/pub/data/aces/triggered/,GHRC-LT01,
olsana,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/ols/ols-mrg/,,All,/ftp/public/pub/data/ols/ols-mrg/,GHRC-LT01,
globalir,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/globalir/data/,,All,/ftp/public/pub/globalir/data,GHRC-LT01,
namnpol,Homepage,http://namma.nsstc.nasa.gov/,,,,,
aces1time,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/aces/timing/,,All,/ftp/public/pub/data/aces/timing/,GHRC-LT01,
c4gmipss2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipss2/UAHCAMEX.DOC,,,,,
c4gmipwp,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipwp/Profiler_software.pdf,,,,,
c4gmisrep,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmisrep/CAMEX4_ER-2_flight_summaries.pdf,,,,,
c4gnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gnpol/NPOL_KAMP_TAPELOG.doc,,,,,
c4gnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gnpol/NPOL_SCIENCELOG.doc,,,,,
c4gnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gnpol/NPOL_SCIENCELOG.txt,,,,,
c4gtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gtoga/Toga_Radar_Science_Log.txt,,,,,
c4gtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gtoga/Toga_Tapelog.txt,,,,,
c4gxpow,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gxpow/example_output.dat,,,,,
c4gxpow,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gxpow/xpow.pdf,,,,,
c4gxpow,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gxpow/XPOW_README.TXT,,,,,
c4p3cp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4p3cp/NOAA_P3_Cloud_Physics.doc,,,,,
c4p3flt,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4p3flt/Standard_tape.ps,,,,,
c4p3rad,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4p3rad/NOAA_P3_Radar.doc,,,,,
c4aaero,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4aaero/aerosonde.pdf,,,,,
c4aaero,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4aaero/CAMEX4_AEROSONDE_report.doc,,,,,
c4dcm,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dcm/2dpimg.GIF,,,,,
c4dcstar,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dcstar/pub_cstar_read.txt,,,,,
c4dcvi,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dcvi/cvi-cartoon.JPG,,,,,
c4dcvi,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dcvi/cvi.pdf,,,,,
c4dd8d,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dd8d/dropsonde_science_description.pdf,,,,,
c4dicats,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dicats/ICATS_appendix_2.pdf,,,,,
c4dicats,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dicats/ICATS_format_AppendixB.pdf,,,,,
c4dicats,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dicats/ICATS-HANDBOOK.pdf,,,,,
c4djlh,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4djlh/JLHfactsheet.doc,,,,,
c4djlh,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4djlh/jlh_summary.pdf,,,,,
c4djlh,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4djlh/TUTORIAL.pdf,,,,,
c4dlase,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dlase/LASE_CAMEX-4_data_documentation.pdf,,,,,
c4dlase,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4dlase/LASE_description.pdf,,,,,
