GRANULE_NAME,BYTE_SIZE,ORBIT_ID,START_DATE,STOP_DATE,FRAC_SEC_START,FRAC_SEC_STOP,START_LAT,START_LON,STOP_LAT,STOP_LON,ASCENDING_NODAL_CROSSING,AREAS,FLASHES,GROUPS,EVENTS,IMAGES,ONE_SECOND,QA_ALERT_SUM_WARNINGS,QA_ALERT_SUM_FATAL,QA_INSTRUMENT_ERROR_WARNINGS,QA_INSTRUMENT_ERROR_FATAL,QA_PLATFORM_ERROR_WARNINGS,QA_PLATFORM_ERROR_FATAL,QA_EXTERNAL_ERROR_WARNINGS,QA_EXTERNAL_ERROR_FATAL,QA_PROCESSING_ERROR_WARNINGS,QA_PROCESSING_ERROR_FATAL,DS_SHORT_NAME,BROWSE_IMAGE_FILE,BROWSE_AVAIL,SUPER_GRANULE_NAME,PACKAGE,GRANULE_COMMENTS,PRE_PKG,STORAGE_MEDIUM,ENTERED,PROJ_NAME,ARCHIVE_SIZE,PATH,LASTUPDATE,LASTUPDATE_APP
TRMM_LIS_SC.04.1_2006.316.hdf.tar.gz,19111338,,12-Nov-06,13-Nov-06,,,99.99,-14.5,99.99,-31.5,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.316.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.317.hdf.tar.gz,23085090,,13-Nov-06,14-Nov-06,,,99.99,-31.5,99.99,-49,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.317.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.318.hdf.tar.gz,18778465,,14-Nov-06,15-Nov-06,,,99.99,-49,99.99,-43,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.318.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.319.hdf.tar.gz,29314642,,15-Nov-06,16-Nov-06,,,99.99,-43,99.99,-60,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.319.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.320.hdf.tar.gz,23669199,,16-Nov-06,17-Nov-06,,,99.99,-60,99.99,-54,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.320.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.321.hdf.tar.gz,23566325,,17-Nov-06,18-Nov-06,,,99.99,-54,99.99,-71,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.321.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.322.hdf.tar.gz,21439593,,18-Nov-06,19-Nov-06,,,99.99,-71,99.99,-65,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.322.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.323.hdf.tar.gz,21038991,,19-Nov-06,20-Nov-06,,,99.99,-65,99.99,-82.5,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.323.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.324.hdf.tar.gz,23071852,,20-Nov-06,21-Nov-06,,,99.99,-82.5,99.99,-99.5,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.324.hdf.tar.gz,24-Jun-09,META
TRMM_LIS_SC.04.1_2006.325.hdf.tar.gz,21017402,,21-Nov-06,22-Nov-06,,,99.99,-99.5,99.99,-93.5,,,,,,,,,,,,,,,,,,lislip,,F,,,,N,DLT_GHRC,24-Jun-09,LIS,,2006/TRMM_LIS_SC.04.1_2006.325.hdf.tar.gz,24-Jun-09,META
